Country,Confirmed,Deaths,Recovered,Active,Population,Average temperature ,Average life expectancy,Average annual rainfall
Afghanistan,,,,14.2,38928341,14.2,66,409
Albania,,,,14.3,2877800,14.3,79,1242
Algeria,,,,24.2,43851043,24.2,76,51
Andorra,,,,10.2,77265,10.2,84,1054
Angola,,,,21.7,32866268,21.7,64,1119
Antigua and Barbuda,,,,25,97928,25,77,1082
Argentina,,,,15.6,45195777,15.6,77,647
Armenia,,,,8.9,2963234,8.9,76,964
Australia,,,,22.8,25499881,22.8,84,550
Austria,,,,9.8,9006400,9.8,82,1359
Azerbaijan,,,,13.9,10139175,13.9,74,664
Bahamas,,,,24,393248,24,74,923
Bahrain,,,,28.6,1701583,28.6,81,71
Bangladesh,,,,26.2,164689383,26.2,75,2243
Barbados,,,,27,287371,27,76,1250
Belarus,,,,9.3,9449321,9.3,74,701
Belgium,,,,11.8,11589616,11.8,82,1127
Belize,,,,29,397621,29,73,1693
Benin,,,,28.6,12123198,28.6,61,887
Bhutan,,,,10.8,771612,10.8,73,2947
Bolivia,,,,21.8,11673029,21.8,68,1232
Bosnia and Herzegovina,,,,12.2,3280815,12.2,78,1133
Botswana,,,,22.5,2351625,22.5,69,263
Brazil,,,,26,212559409,26,76,1482
Brunei,,,,27.6,437479,27.6,75,3383
Bulgaria,,,,13.2,6948445,13.2,75,672
Burkina Faso,,,,29.9,20903278,29.9,61,706
Burma,,,,28,54409800,28,66,2500
Burundi,,,,20.3,11890781,20.3,63,2109
Cabo Verde,,,,22.9,548800,22.9,76,205
Cambodia,,,,28.3,16718971,28.3,70,1724
Cameroon,,,,25.1,26545864,25.1,64,1441
Canada,,,,-3,37742157,-3,82,687
Central African Republic,,,,25.4,4829764,25.4,57,994
Chad,,,,27.4,16425859,27.4,55,405
Chile,,,,9.7,19116209,9.7,81,1390
China,,,,8.5,1439323774,8.5,78,866
Colombia,,,,28.6,50882884,28.6,78,2874
Comoros,,,,24.4,869595,24.4,67,1858
Congo (Kinshasa),,,,24.4,5518092,24.4,66,1303
Costa Rica,,,,25.2,5094114,25.2,81,3837
Cote d'Ivoire,,,,25.3,25070000,25.3,62,1039
Croatia,,,,13.8,4105268,13.8,78,1048
Cuba,,,,25.8,11326616,25.8,78,1022
Cyprus,,,,20.2,875899,20.2,81,383
Czechia,,,,10.6,10708982,10.6,80,904
Denmark,,,,10,5792203,10,82,1008
Djibouti,,,,29.9,988002,29.9,66,210
Dominica,,,,27,71991,27,73,1214
Dominican Republic,,,,25.6,10847904,25.6,62,1214
Ecuador,,,,21.8,17643060,21.8,77,2657
Egypt,,,,24,102334403,24,71,10
El Salvador,,,,26,6486201,26,72,2055
Equatorial Guinea,,,,24,1402985,24,64,2495
Eritrea,,,,22.5,3546427,22.5,69,358
Estonia,,,,7.6,1326539,7.6,79,721
Eswatini,,,,21.4,1160164,21.4,64,775
Ethiopia,,,,24.2,114963583,24.2,67,971
Fiji,,,,28.5,896444,28.5,67,3098
Finland,,,,3.6,5540718,3.6,82,770
France,,,,12.7,65273512,12.7,83,1238
Gabon,,,,25.6,2225728,25.6,68,1871
Gambia,,,,28.8,2416664,28.8,66,905
Georgia,,,,10.3,3989175,10.3,74,1354
Germany,,,,11.2,83783945,11.2,81,1003
Ghana,,,,28.4,31072945,28.4,65,932
Greece,,,,16.1,10423056,16.1,82,705
Grenada,,,,28,112519,28,75,2000
Guatemala,,,,24.6,17915567,24.6,82,1977
Guinea,,,,26.6,13132792,26.6,61,1718
Guinea-Bissau,,,,28.5,1874000,28.5,64,1813
Guyana,,,,27.1,786559,27.1,70,1875
Haiti,,,,25.8,11402533,25.8,65,997
Holy See,,,,23.6,809,23.6,84,800
Honduras,,,,25.5,9904608,25.5,73,1959
Hungary,,,,13.5,9660350,13.5,77,629
Iceland,,,,1.2,341250,1.2,83,1347
India,,,,25.4,1380004385,25.4,72,1832
Indonesia,,,,26.4,273523621,26.4,71,3567
Iran,,,,19.2,83992953,19.2,78,305
Iraq,,,,22,40222503,22,72,238
Ireland,,,,10.3,4937796,10.3,82,1085
Israel,,,,21,8655541,21,82,180
Italy,,,,14.6,60461828,14.6,84,1148
Jamaica,,,,26.7,2961161,26.7,71,1355
Japan,,,,13.1,126476458,13.1,85,1955
Jordan,,,,20.3,10203140,20.3,78,50
Kazakhstan,,,,7.9,18776707,7.9,74,387
Kenya,,,,25.2,53771300,25.2,64,754
"Korea, South",,,,13.6,51640000,13.6,83,1385
Kosovo,,,,9.5,1932774,9.5,76,789
Kuwait,,,,27.3,4270563,27.3,83,138
Kyrgyzstan,,,,3.5,6524191,3.5,72,1011
Laos,,,,25.1,7275556,25.1,69,1899
Latvia,,,,8.5,1886202,8.5,76,718
Lebanon,,,,16.4,6825442,16.4,78,556
Lesotho,,,,13.2,2142252,13.2,58,790
Liberia,,,,25.9,5057677,25.9,62,2126
Libya,,,,23.3,6871287,23.3,73,19
Liechtenstein,,,,9.5,38137,9.5,84,950
Lithuania,,,,9.2,2722291,9.2,76,742
Luxembourg,,,,11.1,625976,11.1,82,1145
Madagascar,,,,23.1,27691019,23.1,64,1429
Malawi,,,,23.2,19129955,23.2,67,1330
Malaysia,,,,27.1,32365998,27.1,76,3334
Maldives,,,,28,540542,28,81,1900
Mali,,,,29.7,20250834,29.7,60,309
Malta,,,,20.6,441539,20.6,83,600
Mauritania,,,,29.3,4649660,29.3,82,70
Mauritius,,,,23.9,1271767,23.9,68,1104
Mexico,,,,22.7,128932753,22.7,75,791
Moldova,,,,12.9,4033963,12.9,71,570
Monaco,,,,16,39244,16,86,930
Mongolia,,,,2.4,3278292,2.4,72,309
Montenegro,,,,10.2,628062,10.2,77,1488
Morocco,,,,19.2,36910558,19.2,75,224
Mozambique,,,,25.2,31255435,25.2,63,718
Namibia,,,,20.9,2540916,20.9,67,178
Nepal,,,,14.5,29136808,14.5,70,2221
Netherlands,,,,11.8,17134873,11.8,82,1072
New Zealand,,,,10.9,4822233,10.9,82,1490
Nicaragua,,,,26.6,6624554,26.6,75,2150
Niger,,,,28.2,24206636,28.2,61,187
Nigeria,,,,27.7,206139587,27.7,54,984
North Macedonia,,,,12.6,2083380,12.6,77,722
Norway,,,,3.1,5421242,3.1,83,1384
Oman,,,,28.2,5106622,28.2,80,80
Pakistan,,,,22.1,220892331,22.1,67,470
Panama,,,,26.1,4314768,26.1,79,3345
Papua New Guinea,,,,24.8,8947027,24.8,66,4330
Paraguay,,,,24.9,7132530,24.9,74,928
Peru,,,,20.2,32971846,20.2,78,1949
Philippines,,,,27.2,109581085,27.2,70,3019
Poland,,,,10.9,37846605,10.9,78,750
Portugal,,,,16.9,10196707,16.9,82,774
Qatar,,,,28.7,2881060,28.7,82,92
Romania,,,,12.3,19237682,12.3,76,684
Russia,,,,-2.6,145934460,-2.6,73,571
Rwanda,,,,18.9,12952209,18.9,68,1636
Saint Kitts and Nevis,,,,27.4,53192,27.4,72,1150
Saint Lucia,,,,28,183629,28,73,1830
Saint Vincent and the Grenadines,,,,26.9,110947,26.9,71,1284
San Marino,,,,12.8,33938,12.8,85,770
Sao Tome and Principe,,,,26.5,219161,26.5,70,1535
Saudi Arabia,,,,26.4,34813867,26.4,79,67
Senegal,,,,29.4,16743930,29.4,69,581
Serbia,,,,13.4,6804596,13.4,77,680
Seychelles,,,,27.5,98340,27.5,73,2433
Sierra Leone,,,,27,7976985,27,62,2756
Singapore,,,,28.4,5850343,28.4,84,2340
Slovakia,,,,11.1,5459643,11.1,78,863
Slovenia,,,,11.7,2078932,11.7,81,1436
Somalia,,,,27.3,15893219,27.3,59,224
South Africa,,,,19,59308690,19,66,403
South Sudan,,,,28,11193729,28,57,221
Spain,,,,15.1,46754783,15.1,83,705
Sri Lanka,,,,27.6,21413250,27.6,77,1980
Sudan,,,,27.7,43849269,27.7,66,221
Suriname,,,,27.6,586634,27.6,73,1784
Sweden,,,,4.2,10099270,4.2,83,855
Switzerland,,,,7.8,8654618,7.8,84,1774
Syria,,,,18.1,17500657,18.1,72,202
Taiwan,,,,0,23816775,0,80,866
Tajikistan,,,,5,9537642,5,72,768
Tanzania,,,,23,56320000,23,67,1303
Thailand,,,,27.8,69799978,27.8,76,1553
Timor-Leste,,,,24,1268000,24,68,1500
Togo,,,,28.1,8278737,28.1,63,1029
Trinidad and Tobago,,,,27.6,1399491,27.6,63,1284
Tunisia,,,,21.6,11818618,21.6,76,152
Turkey,,,,13.2,84339067,13.2,77,684
Uganda,,,,23.1,45741000,23.1,68,1436
Ukraine,,,,11.2,43733759,11.2,74,555
United Arab Emirates,,,,28.6,9890400,28.6,83,134
United Kingdom,,,,9.9,67886004,9.9,81,1146
Uruguay,,,,18.4,3473727,18.4,78,1461
United States of America,,,,10.7,331002647,10.7,79,1360
Uzbekistan,,,,14.6,33469199,14.6,72,265
Venezuela,,,,25.5,28435943,25.5,72,1875
Vietnam,,,,25.5,97338583,25.5,74,2201
West Bank and Gaza,,,,25,4430000,25,65,259
Western Sahara,,,,21,597330,21,71,45
Yemen,,,,26,29825968,26,69,148
Zambia,,,,22.3,18383956,22.3,66,795
Zimbabwe,,,,22.5,14862927,22.5,63,422
